state_abbr,county,offense,total_2023,latitude,longitude
TX,DIMMIT,Violent Crime,24.0,28.521915,-99.86047
NC,LEE,Property Crime,938.0,35.476075,-79.17222
WI,CRAWFORD,Violent Crime,46.0,43.24991,-90.95123
MN,STEVENS,Violent Crime,9.0,45.593461,-95.992315
NV,CLARK,Property Crime,67292.0,35.978218,-114.83407
WA,WHITMAN,Violent Crime,82.0,46.903322,-117.522962
CO,EAGLE,Violent Crime,80.5,39.630638,-106.692944
KY,JEFFERSON,Property Crime,27906.5,38.218044,-85.6777
KY,TRIMBLE,Violent Crime,1.0,38.618193,-85.355171
NE,FILLMORE,Violent Crime,1.0,40.52504,-97.596705
AR,ARKANSAS,Violent Crime,140.5,34.500004,-91.55133
PA,NORTHUMBERLAND,Property Crime,709.0,40.851524,-76.709877
RI,PROVIDENCE,Property Crime,8750.0,41.983906,-71.51848
SC,WILLIAMSBURG,Property Crime,754.5,33.626463,-79.716475
IA,CLAY,Violent Crime,13.0,43.079822,-95.149726
IN,WABASH,Violent Crime,0.0,40.843717,-85.795175
TX,HOPKINS,Property Crime,158.0,33.148959,-95.565194
VA,MONTGOMERY,Property Crime,1373.0,37.174884,-80.387314
PA,UNMAPPED COUNTY,Violent Crime,0.0,40.294674,-76.860855
CO,EAGLE,Property Crime,591.0,39.630638,-106.692944
AL,LAUDERDALE,Property Crime,1512.0,34.904122,-87.650997
NM,SAN JUAN,Property Crime,1857.0,36.71903,-107.97912
WY,WESTON,Property Crime,67.0,43.85474,-104.20272
CA,MERCED,Property Crime,6254.0,37.061142,-120.849655
CA,SAN FRANCISCO,Violent Crime,5713.0,37.727239,-123.032229
VT,WASHINGTON,Violent Crime,148.0,44.323574,-72.75518
OH,MORGAN,Property Crime,101.0,39.648872,-81.85399
OH,DEFIANCE,Property Crime,346.0,41.286934,-84.36355
NE,BUFFALO,Violent Crime,137.0,40.855226,-99.074983
MD,HARFORD,Property Crime,2547.0,39.548725,-76.09505
